"Cidade","UF","Salario.Bruto","Horas.Diarias","Tempo.de.Empresa","Experiencia.Profissional","Iniciativa.Privada.ou.Concursado","Cargo","Formacao","Pos.Graduacao.ou.Certificacao"
"Viçosa","MG",4900,9,6,6,"Iniciativa Privada","Analista de Processos / Gerente de Projetos","Ciência da Computação","TRUE"
"Fortaleza","CE",4800,8,1,10,"Iniciativa Privada","Java","Graduacao em Analise e Densenvolvimento de sistemas","FALSE"
"Goiânia","GO",4769,8,2,4,"Concursado","Análise de Requisitos (EA); Programação (Ruby + Flex)","Engenharia de Computação","TRUE"
"Belo Horizonte","MG",4600,8,1,5,"Iniciativa Privada","Analista de Sistemas / Desenvolvimento JEE","Graduado em Ciência da Computação","TRUE"
"Belo Horizonte","MG",4600,8,4,7,"Iniciativa Privada","Sistemas Distribuídos J2EE/ Eng. Software/ Arq. Software","Tecnologia em Processamento de Dados","TRUE"
"Recife","PE",4600,7,1.3,4,"Concursado","Desenvolvedor","Educação Física / Técnico em TI","TRUE"
"Recife","PE",4600,8,0.25,5,"Concursado","Analista de Sistemas","Tecnólogo","TRUE"
"Curitiba","PR",4553,8,0.16,10,"Iniciativa Privada","Analista de Sistemas - Linux, Homologação de Hardware","Ciência da Computação","FALSE"
"Florianópolis","SC",4500,8,0.58,3,"Concursado","Analista de Sistemas - JAVA",,"TRUE"
"Florianópolis","SC",4500,8,0.58,6,"Concursado","Analista de TI / Desenvolvedor JAVA Web","Sistemas de Informação","TRUE"
"pernambuco","PJ",4500,8,7,7,"Iniciativa Privada","Desenvolvedor Java / Adm. de sistemas e rede","Bacharel Ciência da Computação","FALSE"
"São Paulo","SP",4400,9,3,3,"Iniciativa Privada","Analista de Desenvolvimento Pleno para Softwares Embarcados","Ciência da Computação","FALSE"
"Belo Horizonte","MG",4300,8.8,0.5,5,"Iniciativa Privada","Desenvolvedor Java","Graduado em Ciências da Computação","TRUE"
"Porto Alegre","SC",4300,8,0.58,2,"Concursado","Análista de Sistemas/VB 5, C#, Oracle","Graduação em Sistemas de Informação","FALSE"
"São Paulo","SP",4300,8,0.58,4,"Iniciativa Privada","Lider de Equipe / Analista Desenvolvedor .NET Sr","Cursando Engenharia","FALSE"
"Rio de Janeiro","RJ",4200,8,1,2,"Concursado","Desenvolvedor Web","Ciência da Computação","FALSE"
"Brasília","DF",4180,9,1.3,11,"Iniciativa Privada","Gerência em TI","Bacharel em Ciência da Computação","TRUE"
"São Paulo","SP",4100,8,1.66,4,"Iniciativa Privada","Programador Analista .NET Pleno","Sistemas de Informação (Incompleto)","FALSE"
"Belém","PA",4000,8,2,12,"Concursado","Analista de TI e Redes","Ciência da Computação","TRUE"
"Brasilia","DF",4000,8,5,0.4,"Concursado","Analista SI e TI",,"FALSE"
"Goiânia","GO",4000,8,4,4,"Concursado","Analista de Sistemas - Desenvolvimento","Ciência da Computação","FALSE"
"Salvador","BA",4000,8.8,1,5,"Iniciativa Privada","Banco de dados","Bacharel em Ciência da Computação","FALSE"
"Brasilia","DF",3990,8,0.5,2,"Concursado","Analista de TI/Redes",,"FALSE"
"Rio de Janeiro","RJ",3990,7,5,10,"Iniciativa Privada","Analista de Sistemas",,"TRUE"
"Rio de Janeiro","RJ",3950,8,2,5,"Iniciativa Privada","Analista de Sistemas / Projetos .NET/C#","Tecnólogo","TRUE"
"Belo Horizonte","MG",3928,8,0.25,1.5,"Iniciativa Privada","Consultor BPM","Bacharel em Ciência da Computação","FALSE"
"Belo Horizonte","PB",3900,8,0.66,3,"Concursado","Analista de TI","Ciencias da Computação","FALSE"
"Porto Alegre","RS",3900,8,0.5,6,"Concursado","Analista de TI","Graduação em Sistemas de Informação","TRUE"
"Belo Horizonte","MG",3700,8,1.91,4,,"Analista de Redes / Desenvolvedor","Redes de Computadores Tecnologo","TRUE"
"Juiz de Fora","MG",3665.9,8,6,6,"Iniciativa Privada","Anal. Sist. / Prog / Adm BD / Anal. Suporte","Bacharel em Ciência da Computação","TRUE"
"Brasilia","DF",3500,9,1,11,"Iniciativa Privada","Administrador de Redes","Bacharel em Sistemas de Informação","FALSE"
"Campinas","SP",3500,8,1,6,"Iniciativa Privada","Engenheiro de Semicondutores","Mestrado em Ciencia da Computacao","FALSE"
"Curitiba","PR",3500,8,1,2,"Iniciativa Privada","Análise de Sistemas, Java","Ciencia da Computacao","TRUE"
"Juazeiro","BA",3500,8,2,6,"Iniciativa Privada","Coordenador de TI/Analista de TI",,"TRUE"
"Salvador","BA",3500,8,1.58,7,"Iniciativa Privada","Analista de Suporte","Graduação Tecnologica em Redes de Computadores","TRUE"
"Salvador","BA",3500,8.8,1,6,"Iniciativa Privada","Analista de Sistemas Sênior","Ciência da Computção","FALSE"
"São Paulo","SP",3500,8,0.5,0.5,"Concursado","Analista de Sistemas","Engenharia de Computação","TRUE"
"Curitiba","PR",3300,8.48,0.58,3.5,"Iniciativa Privada","Analista Desenvolvedor Java","Bacharelado em Ciência da Computação","TRUE"
"Seropédica","RJ",3300,8,0.08,5,"Concursado","Analista de TI - Desenvolvedor","Ciência da Computação","FALSE"
"Campina Grande","PB",3293,8,0.58,0.58,"Concursado","analista de sistemas","bacharel em ciência da computação","FALSE"
"Curitiba","PR",3200,8,1,2,"Iniciativa Privada","Analista SIG (Sistemas de Informações Geográficas)","Engenharia de Computação","TRUE"
"Santos","SP",3200,8,7,8,"Iniciativa Privada","Analista de Sistema Pleno",,"FALSE"
"Joinville","SC",3100,8,5.5,7,"Iniciativa Privada","Analista de Testes","Bacharel em Ciência da Computação","TRUE"
"Campinas","SP",3000,8,0.33,1,"Iniciativa Privada","Telecomunicações","Engenharia da Computação","FALSE"
"Campinas","SP",3000,8,2,10,"Iniciativa Privada","Design de interface","Graduação em Administração de empresas","FALSE"
"Porto Alegre","RS",3000,8,6,10,"Iniciativa Privada","Desenvolvedor Web (PHP, PostgreSQL) e Professor","Graduação em Sistemas de Informação","TRUE"
"Salvador","BA",3000,8,4,12,"Iniciativa Privada","Analista de Redes Senior",,"FALSE"
"São Paulo","SP",3000,8,0.16,2.5,"Iniciativa Privada","Analista de sistemas/desenvolvedor",,"FALSE"
